competencia;uf;registros;admissoes;desligamentos;remuneracao_media;remuneracao_mediana;saldo_empregos
202606;41;3188;1568;1620;4342.027166614371;2670.0;-52
202606;43;3065;1573;1492;5095.454030678851;3200.6400000000003;81
202606;53;1684;861;823;5933.195671819262;4389.73;38
202606;26;1611;880;731;3647.8444472049687;2229.165;149
202606;23;1551;795;756;3393.2789722042667;2092.5;39
202606;29;1532;893;639;2710.09391503268;1760.0;254
202606;52;1122;575;547;3065.7252857142857;2075.4;28
202606;32;1005;512;493;3811.238915422885;2200.0;19
202606;51;743;371;372;3660.280931174089;2431.5;-1
202606;15;705;326;379;2335.650283687943;1780.0;-53
202606;13;479;227;252;3984.112280334728;2490.835;-25
202606;50;470;226;244;2881.756180257511;2000.0;-18
202606;21;405;208;197;2460.7276543209878;1709.0;11
202606;25;362;181;181;2719.662908587258;1906.98;0
202606;22;311;174;137;2366.2058899676376;1750.0;37
202606;24;287;124;163;2521.37512195122;1772.0;-39
202606;28;252;119;133;2650.7072222222223;1817.82;-14
202606;27;245;148;97;2386.293714285714;1660.0;51
202606;11;218;104;114;2273.7542129629637;1785.0;-10
202606;17;189;84;105;2345.971111111111;1942.66;-21
202606;16;122;53;69;2238.857704918033;1744.265;-16
202606;12;75;26;49;2358.9456;1702.05;-23
202606;14;53;32;21;2389.802641509434;1798.4;11
